id,beneficio,categoria,descripcion,cobertura_monto,requisito,vigencia,contacto
B01,Seguro de Salud Privado EPS,Salud,"Cobertura médica integral que incluye consultas, hospitalizaciones, cirugías, emergencias y medicamentos recetados.",100% titular y 80% dependientes directos (cónyuge e hijos menores de 25 años),Haber superado el periodo de prueba de 3 meses,Renovación automática anual cada 1 de enero,rh@empresa.com
B02,Seguro Dental,Salud,"Cobertura para tratamientos dentales preventivos, restauraciones, endodoncias y ortodoncia básica.",80% del costo hasta un tope anual de $800 USD,Haber superado el periodo de prueba de 3 meses,Renovación automática anual cada 1 de enero,rh@empresa.com
B03,Seguro de Vida,Salud,"Póliza de seguro de vida equivalente a 24 meses de salario bruto del colaborador. Incluye cobertura por muerte accidental y desmembramiento.",24 meses de salario bruto,Todos los colaboradores activos desde el primer día,Vigente mientras exista relación laboral,rh@empresa.com
B04,Vales de Alimentación,Alimentación,"Tarjeta de alimentos recargable mensualmente para uso en supermercados, restaurantes y plataformas de delivery.",$250 USD mensuales,Todos los colaboradores activos,Recarga el día 1 de cada mes,rh@empresa.com
B05,Bono de Capacitación,Educación,"Presupuesto anual para cursos, certificaciones, diplomados, conferencias y libros técnicos relacionados con el rol del colaborador.",Hasta $1500 USD anuales,Aprobación del líder de área y relación directa con el rol actual o plan de carrera,Año fiscal de enero a diciembre,capacitacion@empresa.com
B06,Bono de Idiomas,Educación,"Subsidio para clases de inglés, portugués u otros idiomas relevantes para la operación de la empresa.",Hasta $600 USD anuales (50% del costo del programa),Nivel mínimo de permanencia de 6 meses en la empresa,Año fiscal de enero a diciembre,capacitacion@empresa.com
B07,Presupuesto de Equipamiento Remoto,Trabajo Remoto,"Pago único para adquisición de silla ergonómica, monitor externo, teclado, mouse y accesorios de oficina para home office.",$500 USD pago único,Modalidad remota o híbrida aprobada por el líder directo,Pago único al momento de aprobación,it-helpdesk@empresa.com
B08,Subsidio de Internet,Trabajo Remoto,"Reembolso mensual parcial del servicio de internet domiciliario para colaboradores en modalidad remota o híbrida.",$40 USD mensuales,Modalidad remota o híbrida aprobada,Vigente mientras se mantenga la modalidad remota,it-helpdesk@empresa.com
B09,Bono por Referidos,Compensación,"Bono económico por recomendar candidatos que sean contratados y completen exitosamente su periodo de prueba.",$500 USD por cada referido contratado que complete 3 meses,Todos los colaboradores activos,Se paga al completarse el periodo de prueba del referido,rh@empresa.com
B10,Programa de Bienestar,Salud y Bienestar,"Acceso a plataforma de bienestar integral que incluye sesiones de psicología online, meditación guiada, nutrición y descuentos en gimnasios.",100% cubierto por la empresa,Todos los colaboradores activos,Acceso permanente,bienestar@empresa.com
B11,Día de Cumpleaños Libre,Tiempo Libre,"Día libre remunerado en la fecha de cumpleaños del colaborador. Si cae en fin de semana o feriado, se puede tomar el día hábil más cercano.",1 día libre remunerado,Todos los colaboradores activos,Anual,rh@empresa.com
B12,Bono de Desempeño Anual,Compensación,"Bono variable basado en el cumplimiento de objetivos individuales y resultados corporativos del año fiscal.",De 1 a 3 salarios mensuales según evaluación de desempeño,Antigüedad mínima de 1 año y evaluación de desempeño completada,Pago en febrero de cada año,compensaciones@empresa.com
